commentOrDocument,modifyDate,docketId,commentOnDocumentId,id,organization,firstName,lastName,title,comment,attachments,link,GPT_summary
comment,2024-04-03T14:05:12Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0144,Y Combinator,,,Comment from Y Combinator,See attachment,"[('YC NTIA Letter Final', 'https://downloads.regulations.gov/NTIA-2023-0009-0144/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0144,"Y Combinator emphasizes the benefits of open-weight AI models for democratizing AI capabilities and fostering innovation, despite associated risks. They advocate for government guidance rather than restrictive controls, suggesting clear guidelines, research investment, tools for responsible use, and multi-stakeholder efforts to establish norms. Y Combinator stands ready to collaborate with stakeholders to maximize the potential of open-weight AI models while safeguarding national interests and values."
comment,2024-04-03T14:04:59Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0121,Center for Law and AI Risk,,,Comment from Center for Law and AI Risk,See attached file(s),"[('CLAIR Letter on OS Models (1)', 'https://downloads.regulations.gov/NTIA-2023-0009-0121/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0121,"The Center for Law & AI Risk supports sensible restrictions on open-sourcing powerful frontier generative AI systems due to the potential for large-scale harm caused by intentional misuse, accidents, or autonomous action. They advocate for systemic regulation of AI systems, highlighting risks such as autonomous hacking and bioterrorism. While acknowledging the benefits of open-sourcing weaker models for research, they emphasize the need to carefully assess the risks of new, powerful frontier models on a case-by-case basis. They argue that limitations on open-sourcing are crucial within a comprehensive regulatory framework for frontier AI systems."
comment,2024-04-03T14:04:53Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0110,,,Haynes,"Comment from Haynes, David",See attached file(s),"[('Artificial_Consciousness_A_Case_for_Dece', 'https://downloads.regulations.gov/NTIA-2023-0009-0110/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0110,
comment,2024-04-03T14:03:55Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0004,,,Anonymous,Comment from Anonymous,"We can&#39;t hand corporations a monopoly of a public technology by making it prohibitively expensive to for regular people to keep up. Mega corporations already have their own datasets and predatory ToS allowing them exclusive access to user data, effectively selling our own data back to us.<br/><br/>Regular people, who could have had access to a competitive, corporate-independent tool for creativity, education, entertainment, and social mobility, would instead be left worse off and with less than where we started.<br/><br/>Just like with encryption in the 90s, we need to support open source development. John Carmack put it best: https://twitter.com/ID_AA_Carmack/status/1711737838889242880","[('firefox_LpqgEUT39p', 'https://downloads.regulations.gov/NTIA-2023-0009-0004/attachment_1.png')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0004,
comment,2024-04-03T14:05:18Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0156,Alliance for Trust in AI,,,Comment from Alliance for Trust in AI,See attached file(s),"[('ATAI - NTIA RFC Openness in AI - final', 'https://downloads.regulations.gov/NTIA-2023-0009-0156/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0156,"The Alliance for Trust in AI, representing companies using AI, emphasizes the importance of open source AI and openness in AI models. They advocate for effective policy and clear codes of practice to ensure trust in AI. The Alliance supports the NTIA's efforts to make AI systems safe, equitable, and innovative. They encourage a risk-based approach in developing guidelines and regulations for dual-use AI models with widely available model weights, highlighting the need for nuanced, context-driven risk assessment. The Alliance also stresses the benefits of open foundation models, emphasizing the importance of not overly restricting openness in AI. Additionally, they call for international collaboration on AI standards to ensure a secure and open AI ecosystem."
comment,2024-04-03T14:05:20Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0160,HiiiWAV (a Black creative tech incubator),,,Comment from HiiiWAV (a Black creative tech incubator),"To Whom It May Concern,<br/><br/>My name is Bosko Kante and I am writing as the founder of an AI-first music tech &amp; entrepreneurship education startup, organized as a non-profit called HiiiWAV.   At HiiiWAV, we&#39;re passionate about breaking new ground at the intersection of artificial intelligence and music creation, particularly through our innovative Afro AI program. This initiative is a testament to our commitment to empowering musicians and artist-entrepreneurs, especially those from diverse and underrepresented backgrounds (with a focus on Black artists), by leveraging the potential of open foundation models like Meta&#39;s LLAMA 2. In addition to text-to-text solutions, we have an emphasis on creating groundbreaking audio-to-audio and text-to-audio tools that are not just innovative but also accessible.<br/><br/>Open foundation models are the cornerstone of our strategy. They offer a viable and cost-effective alternative to the often prohibitive expense of using closed solutions or the daunting challenge of developing and training proprietary models from scratch. For artist-entrepreneurs, this approach is not just about access; it&#39;s about retaining ownership and control over the creative and commercial destinies of their innovations and companies.<br/><br/>Our Afro AI program is more than a project; it&#39;s a movement towards democratizing music production. By harnessing the power of open foundation models, we provide artists with the tools to transform their creative processes, enabling them to generate new sounds, compose music, and even create lyrics using AI. This technology opens up unprecedented possibilities for creativity and innovation, allowing artists to explore new horizons in music production and sound design without the barrier of high costs.<br/><br/>Moreover, the open-source nature of these tools means that the technology is not locked behind the gates of big corporations. This levels the playing field, allowing independent artists and small startups to compete more fairly in the industry. It&#39;s a paradigm shift that encourages a more inclusive, diverse, and vibrant music tech ecosystem.<br/><br/>HiiiWAV&#39;s Afro AI program exemplifies how open-source models can revolutionize industries by making advanced technologies accessible to all. It highlights our belief in the power of collaboration and community in driving innovation. By providing artist-founders with the means to build their companies and retain ownership, we&#39;re fostering technological advancement and nurturing a new generation of creators who are empowered to lead the way in the music industry&#39;s future.<br/><br/>We recognize that there are inherent dangers present with any new technology and open foundation models can be misused.  However, we feel it&rsquo;s important to weigh the marginal risks and recognize that many of the dangers already exist based on currently available technologies and information. <br/>In essence, HiiiWAV is at the forefront of marrying technology with artistic creativity to ensure that the future of music is diverse, innovative, and inclusive. Our commitment to open-source models and the democratization of AI tools stands as a signal for what is possible when technology serves not just to innovate, but to empower and uplift.<br/><br/>Here&rsquo;s how HiiiWAV&#39;s ethos and vision inform our approach to the numbered questions posed by the NTIA:<br/><br/>4. Other Relevant Components: Training data transparency is crucial. The biases inherent in training datasets can perpetuate stereotypes and inequities. Open access to these datasets, coupled with robust oversight mechanisms, can mitigate risks and enhance the societal benefits of AI.<br/><br/>6. Legal or Business Issues: Intellectual property rights in the context of generative AI pose significant challenges for artists. Ensuring creators retain control over their work, even when AI is used as a tool for creation, is essential for fostering innovation while protecting artists&rsquo; rights.<br/><br/>8. Adapting to Technological Changes: Flexibility, community engagement, and ongoing education are key. Policies and frameworks developed today should be revisable based on community feedback and the evolving technological landscape, ensuring they remain relevant and effective.<br/><br/>9. Additional Considerations: The impact of AI on employment, especially within creative industries, merits close examination. Strategies to support artists and creators as they navigate the transition to an AI-augmented future are crucial. Additionally, the role of AI in education and skill development for underrepresented communities should be explored, ensuring these technologies serve as bridges rather than barriers to opportunity.<br/><br/>Our response is rooted in a commitment to leveraging AI as a tool for empowerment, innovation, and justice. By prioritizing the interests and voices of artists and the Black community, we can navigate the challenges and opportunities of AI, ensuring it serves as a catalyst for positive change and equitable growth.<br/><br/>Sincerely, <br/><br/>Bosko Kante<br/><br/>(see attached)","[('HiiiWAV NTIA response ', 'https://downloads.regulations.gov/NTIA-2023-0009-0160/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0160,"Bosco Kante, founder of HiiiWAV, emphasizes using open foundation models like Meta's LLAMA 2 to empower musicians, especially Black artists, through their Afro AI program. They highlight the benefits of open models in democratizing music production, fostering inclusivity, and enabling fair competition in the industry. Kante addresses the importance of community-led governance to mitigate risks, promote transparency, and ensure ethical AI use. Their commitment lies in leveraging AI for empowerment, innovation, and justice, particularly for underrepresented communities."
comment,2024-04-03T14:06:09Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0251,Future of Life Institute,,,Comment from Future of Life Institute,See attached file(s),"[('NTIA-2023-0009-Future of Life Institute', 'https://downloads.regulations.gov/NTIA-2023-0009-0251/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0251,"The Future of Life Institute (FLI) has a history of leadership in AI governance, focusing on mitigating risks and maximizing benefits. They offer analysis and recommendations on managing risks associated with Open Dual-Use Models (ODUMs), emphasizing the unique dangers posed by ODUMs compared to closed systems. FLI advocates for updated definitions, thorough testing of ODUMs, and developer responsibility to prevent misuse. They also suggest international cooperation, whistleblower protections, and initiatives like the National Artificial Intelligence Research Resource (NAIRR) to address power concentration and ensure safety in AI development. FLI's recommendations aim to balance the benefits and risks of ODUMs while promoting safety and security in AI development."
comment,2024-04-03T14:05:49Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0213,,,Ball,"Comment from Ball, Dean",My comment is available formatted in the attached document.<br/><br/>,"[('NTIA Open Source Comment Final', 'https://downloads.regulations.gov/NTIA-2023-0009-0213/attachment_1.docx')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0213,
comment,2024-04-03T14:06:27Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0284,Connected Health Initiative,,,Comment from Connected Health Initiative,See attached for comments of the Connected Health Initiative,"[('CHI Comments re NTIA Dual Use Foundation AI Models With Widely Available Model Weights RFI (27 Mar 2024) (w appendicies)', 'https://downloads.regulations.gov/NTIA-2023-0009-0284/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0284,"The Connected Health Initiative (CHI) submitted comments to the National Telecommunications and Information Administration (NTIA) regarding dual-use foundation artificial intelligence (AI) models with widely available model weights. CHI emphasizes the importance of responsible AI advancement in healthcare and offers recommendations, including improving categorization of foundation models, addressing demonstrable and systemic harms, promoting shared responsibility, and supporting international standards for risk management. They also highlight the need for scalable risk-based harm mitigation principles and collaboration with other federal efforts. CHI stresses the importance of ethical use, quality assurance, oversight, thoughtful design, access, affordability, bias mitigation, education, privacy, security, collaboration, workforce issues, and alignment with international standards in AI governance."
comment,2024-04-03T14:06:24Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0280,Consumer Technology Association (CTA),,,Comment from Consumer Technology Association (CTA),Attached.,"[('CTA comments for NTIA RFC regarding open-weight AI models 3-27-24', 'https://downloads.regulations.gov/NTIA-2023-0009-0280/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0280,"The Consumer Technology Association (CTA) urges caution in regulating artificial intelligence (AI) models with widely available model weights, emphasizing the need for a flexible, risk-based approach. They highlight the benefits of open weight models, such as increased innovation, transparency, and lower barriers to entry. CTA suggests that risks associated with open models should be considered marginally and balanced against the benefits. They recommend leveraging existing mechanisms and industry-led initiatives for risk management and decision-making on open foundation models. CTA stresses the importance of not stifling innovation while addressing governance, safety, and security concerns in AI development."
comment,2024-04-03T14:06:02Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0238,ACT-IAC AI Working Group,,,Comment from ACT-IAC AI Working Group,"Disclaimer<br/>The responses to this Request for Information (RFI) reflect the opinions of the authors. They are not necessarily the opinions of the organizations that employ the authors. Readers shall not construe these comments as reflective of current policy or recommended future policy by federal, state, or local governments. This is not a position paper from any federal, state, or local government, from contractors, or from the industry.<br/><br/>American Council for Technology-Industry Advisory Council (ACT-IAC)<br/>The American Council for Technology-Industry Advisory Council (ACT-IAC) is a non-profit educational organization established to accelerate government mission outcomes through collaboration, leadership, and education. ACT-IAC provides a unique, objective, and trusted forum where government and industry executives are working together to improve public services and agency operations through the use of technology. ACT-IAC contributes to better communication between government and industry, collaborative and innovative problem solving, and a more professional and qualified workforce.<br/>The information, conclusions, and recommendations contained in this publication were produced by volunteers from government and industry who share the ACT-IAC vision of a more effective and innovative government. ACT-IAC volunteers represent a wide diversity of organizations (public and private) and functions. These volunteers use the ACT-IAC collaborative process, refined over forty years of experience, to produce outcomes that are consensus-based.<br/>To maintain the objectivity and integrity of its collaborative process, ACT-IAC welcomes the participation of all public and private organizations committed to improving the delivery of public services through the effective and efficient use of technology. For additional information, visit the ACT-IAC website at www.actiac.org.<br/><br/>Emerging Technology Community of Interest<br/>The Emerging Technology COI AI Working Group collaborates with Federal CXOs and other government executives responsible for identifying, assessing, and deploying emerging technology and maturing it to become a major component of the IT and business strategy, as well as industry, government, academia, and the greater community to provide products, services, processes, and business models enabling innovative approaches for solving government issues and challenges.<br/><br/>Artificial Intelligence Working Group<br/>The Artificial Intelligence Working Group (AIWG) engages with subject matter experts in the areas of artificial intelligence/machine learning (AI/ML), advanced analytics, statistics, and other relevant areas from across government and industry to inform and advise government agencies and the federal contractors. The AIWG provides learned inputs and knowledge resources that organizations need to 1) Identify areas that would benefit from AI/ML implementation, 2) Optimize AI/ML implementations, maintenance, and management, and 3) Provide a common space to share best practices that drive mission and operational value.<br/><br/>Due to the character limitations of this submission field the AIWG comments on docket NTIA&ndash;2023&ndash;0009, Dual Use Foundation Artificial Intelligence Models With Widely Available Model Weights RFC, are attached as a 5 page pdf bearing the file name &quot;ACT-IAC Response to NTIA&ndash;2023&ndash;0009 Dual Use Foundation Artificial Intelligence Models With Widely Available Model Weights RFC.pdf&quot;.<br/><br/>","[('ACT-IAC Response to NTIA-2023-0009 Dual Use Foundation Artificial Intelligence Models With Widely Available Model Weights RFC', 'https://downloads.regulations.gov/NTIA-2023-0009-0238/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0238,"The text provides a disclaimer stating that the opinions expressed are those of the authors, not the organizations they represent. The American Council for Technology-Industry Advisory Council (ACT-IAC) aims to improve public services through collaboration and technology. The Emerging Technology Community of Interest collaborates with government executives to deploy emerging technology. The Artificial Intelligence Working Group advises on AI implementation. Regarding the NTIA's question on defining ""open"" for foundational AI models, transparency is key for trust. Risks associated with widely available model weights include malicious use, compliance failure, and bias reinforcement. Privacy risks could result from widely available model weights. Deployment of AI should always be disclosed to users. Governments, companies, and individuals should plan for future use of open foundation models. Risks and benefits of dual-use foundation models with widely available model weights should prioritize risk mitigation, privacy, stakeholder needs, biases, and accountability."
comment,2024-04-03T14:06:19Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0270,"Ethical Intelligence Associates, Limited",,,"Comment from Ethical Intelligence Associates, Limited",See attached file(s),"[('EthicalIntelligence_NTIAOpennessinAI_CommentSubmission_03272024', 'https://downloads.regulations.gov/NTIA-2023-0009-0270/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0270,"Ethical Intelligence group emphasizes the importance of openness and transparency in AI models for startups and smaller businesses. They support the use of open foundation models to stimulate growth, facilitate customized solutions, and enable independent evaluation of AI systems. They believe that openness in AI can lead to innovation in specialized use cases, diversity of applications, and impartial evaluation of AI systems. The group highlights the societal implications of openness in AI and the need for greater access to knowledge for responsible AI implementation."
comment,2024-04-03T14:05:53Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0220,Engine,,,Comment from Engine,See attached file,"[('NTIA AI openness March 27 2024', 'https://downloads.regulations.gov/NTIA-2023-0009-0220/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0220,"Engine Advocacy, a nonprofit organization bridging the gap between policymakers and startups, emphasizes the importance of openness in AI policy for supporting technology entrepreneurship. They highlight the significant role startups play in AI development and innovation, stressing that a balanced regulatory regime is crucial for their success. Engine Advocacy argues that openness in AI reduces costs, lowers barriers to entry, and fosters innovation, benefiting both startups and researchers. They urge policymakers to consider the needs of startups in shaping AI regulations and enforcement."
comment,2024-04-03T14:06:00Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0233,Anthropic PBC,,,Comment from Anthropic PBC,See attached file(s),"[('Anthropic Response to Docket Number NTIA 2023 0009', 'https://downloads.regulations.gov/NTIA-2023-0009-0233/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0233,"Anthropic, an AI safety and research company, supports the NTIA's request for comments on Dual Use Foundation Artificial Intelligence Models. They advocate for standardized safety testing for both open source and proprietary AI models to assess potential misuse and accidents. Anthropic recommends an independent third party to conduct these tests and create benchmarks to ensure transparency and trust in AI technology. They emphasize the importance of government support in rigorous capability and safety evaluations for advanced AI. Anthropic suggests a testing regime that is accessible, cost-effective, and inclusive for all AI developers, aiming to prioritize safety and responsibility in AI innovation."
comment,2024-04-03T14:06:06Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0245,Cohere Inc.,,,Comment from Cohere Inc. ,See attached file(s),"[('NTIA Open Model Weights RFC Final -Cohere', 'https://downloads.regulations.gov/NTIA-2023-0009-0245/attachment_1.pdf')]",https://api.regulations.gov/v4/comments/NTIA-2023-0009-0245,"Cohere, a leading enterprise-focused foundation model developer, supports the NTIA's request for comments on Dual Use Foundation AI Models. They emphasize varying levels of model openness, the importance of contextual definitions, and the need for flexible regulatory options. Cohere highlights their projects Aya and Command-R as examples of different licensing approaches based on perceived risks and benefits. They stress the necessity of considering factors beyond weight release, such as access to compute and expertise, and advocate for a dynamic, risk-based regulatory approach to open foundation models. Cohere commits to evolving their approach to openness and contributing to AI innovation responsibly."
comment,2024-04-03T14:04:03Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0021,,,Lancaste,"Comment from Lancaste, James",This move would do nothing but hinder the U.S. in the AI race and potentially the progress of humanity overall.,[],https://api.regulations.gov/v4/comments/NTIA-2023-0009-0021,
comment,2024-04-03T14:04:49Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0103,,,Anonymous,Comment from Anonymous,This is an absurd proposal that will do very little but slow down the dynamism of the US - both corporations and individuals - at a critical juncture when AI advances could be a critical factor in economic and military improvements.  <br/><br/>The risk offered by current (and prospective) LLMs or deep learning models is tiny compared to the risk of hamstringing advancement.  This proposal does nothing _but_ hamstring advancement and is very ill advised for that reason.  ,[],https://api.regulations.gov/v4/comments/NTIA-2023-0009-0103,
comment,2024-04-03T14:04:21Z,NTIA-2023-0009,NTIA-2023-0009-0001,NTIA-2023-0009-0053,,,Anonymous,Comment from Anonymous,"While the economic dangers of AI are only going to be seen more and more and I honestly believe that this year will absolutely be the last year we can definitively know if content is AI vs human made, I do not believe that restricting open models will do anything to help us here.<br/><br/>We&#39;re at a point where these models will likely take over most jobs in our economy.  Anybody who thinks they have a job that&#39;s safe from AI is flat out wrong.<br/><br/>We must be dynamic and adaptive and the one tool we have to do that is open models.  Do we want to live in a country ruled by the first company to develop artificial general intelligence, or do we want to live in a country where that model exists freely.  Both are scary, both destroy the internet as we know it, but the second option, the one with open models, allows for capitalism to exist at least.  We like capitalism in this country.  Competition is good.<br/><br/>The other issue is that restricting open AI only puts it underground, where it will fester and get more destructive.  The uses of AI like face swapping and fake videos will be the focus.  At least now, a major development focus is in marketing and image upscaling.<br/><br/>Don&#39;t underestimate AI.  This is the last year to regulate it.  You will be too slow for most regulations.  You can fail at trying to restrict it, or embrace it and hone it for the good of the country.  The decision is up to you.<br/><br/>Whatever happened, after this year, forms like this as well as images and videos on the internet will not be reliable.  It&#39;s just the reality that we have to accept.  I hope we can embrace it.",[],https://api.regulations.gov/v4/comments/NTIA-2023-0009-0053,
